Id,Agency Holding Company,Agency Name,Disciplines,Website,Description,Locations,Street Address,Street Address 2,City,State,Zip Code,Main Phone,Employees,Client Industries,Client Relationships,Profile URL,Year Founded,
2759,,&Barr,Full Service/Integrated,www.andbarr.co,full service,"Orlando,FL",600 East Washington Street ,,Orlando,FL,32801,(407)-849-0100,51-200,"tourism boards, home services: pest, maid, security, environmental services, security, pest control, janitorial, hotels, motels & resorts","Rosen Hotels & Resorts, Inc., Rosen Centre Hotel, Rosen Plaza Hotel, Rosen's Shingle Creek Resort, Palm Beach County Tourism, Massey Services, Inc.",https://my.winmo.com/hubignite/agency_profile/2759,1957,"All data © Winmo LLC under license for use until 2-23-2027. Media spend range data © The Nielsen Company, 2024 Used under license"
16777,,(add)ventures,Digital,www.addventures.com,full service,"Providence,RI","20 Risho Avenue, East",,Providence,RI,2914,(401) 453-4748,Nov-50,,,https://my.winmo.com/hubignite/agency_profile/16777,1989,
41817,,(human)x,Digital,leaphumanx.com,Interactive,"Louisville,KY",2500 Technology Drive,,Louisville,KY,40299,(502) 212-1390,51-200,"clothing manufacturers, retailers of apparel & accessories, Automotive, dealerships, aftermarket, tires, parts, auto care, beer, wine, liquor, spirits, television & radio stations, colleges & universities, toys, games, hobbies, arts & crafts supplies, restaurants, hospitals, nursing homes, health care facilities, building materials & supplies, swimming pool & hot tubs: equipment & chemicals, industrial equipment & machinery, chemicals, forestry, lumber & paper products manufacturers, fds & bvrgs, infant & youth supplies & equipment, books, Retail Stores & Chains, specialty retailers, staffing, temporary employment, HR & benefits services, health & fitness clubs & equipment, software, cruise lines","Evenflo Company, Inc., University of Louisville, AutoZone, Inc., Ceridian Corporation, Cintas Corporation, Fiserv, Inc., Sutter Home",https://my.winmo.com/hubignite/agency_profile/41817,1999,
61529,,(un)Common Logic,SEO/SEM,www.uncommonlogic.com/,"Digital Marketing, Search Engine Optimization","Austin,TX",5926 Balcones Drive,Suite 130,Austin,TX,78731,(512)-872-6943,Nov-50,,,https://my.winmo.com/hubignite/agency_profile/61529,2008,
61356,,10 Thousand Design,Design,www.10thousanddesign.com,Design,"Minneapolis,MN",400 First Avenue North,Suite 700,Minneapolis,MN,55401,(612) 305-6002,Nov-50,,,https://my.winmo.com/hubignite/agency_profile/61356,2016,
61672,,10 to 1 Public Relations,Public Relations,10to1pr.com,public relations,"Scottsdale,AZ",7320 East Butherus Drive,Suite 205,Scottsdale,AZ,85260,(480) 550-6500,10-Jan,,,https://my.winmo.com/hubignite/agency_profile/61672,2012,
59945,,1000heads,Social,www.1000heads.com,social,"New York,NY",55 Broadway,24th Floor,New York,NY,10006,(212) 941-1000,51-200,"photography & video equipment, packaged foods, metals & mining, cosmetics, perfume, toiletries & personal care items, fds & bvrgs, computer hardware: components & parts, software, internet search engines & reference guide providers, internet content providers, Online Retailer, Display & Programmatic Advertising, Mobile Marketing, Search & Social Advertising, Video Advertising, Channel, Partner & Local Marketing, Affiliate Marketing & Management, Marketing Automation & Campaign/Lead Management, Optimization, Personalization & Testing, Interactive Content, Content Marketing, Content Management System (CMS) & Web Experience Management, Marketing Resource Management (MRM), Video Marketing, Search Engine Optimization (SEO), Mobile Apps, Data Management Platform (DMP), iPaaS, Cloud/Data Integration & Tag Management, Marketing Analytics, Performance & Attribution, Mobile & Web Analytics, Collaboration, Events, Meetings & Webinars, Social Media Marketing & Monitoring, Community & Reviews","Snap, Inc., Google, Inc., Bimbo Bakeries USA, Ancestry, Logitech, Inc.",https://my.winmo.com/hubignite/agency_profile/59945,2000,
62059,,104 West Partners,Public Relations,www.104west.com,public relations & communications,"Denver,CO",1925 Blake Street,Suite 200,Denver,CO,80202,(720) 407-6060,10-Jan,,,https://my.winmo.com/hubignite/agency_profile/62059,2003,
61366,,10Fold,Public Relations,www.10fold.com,public relations & integrated,"Austin,TX",600 Congress Avenue,,Austin,TX,78701,(415) 800-5361,51-200,,,https://my.winmo.com/hubignite/agency_profile/61366,1995,
61363,,10Fold,Public Relations,www.10fold.com,public relations & integrated,"San Francisco,CA",44 Montgomery Street,Suite 3065,San Francisco,CA,94104,(415)-800-5361,51-200,,,https://my.winmo.com/hubignite/agency_profile/61363,1995,
